ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,best_theme,best_score
MNST,2023,0.002035818963451883,0.011946675657644497,0.0518935068267022,0.05162467228491821,0.028936531170162455,0.039308746075739774,0.03127872741022328,0.027143936961575816,0.047689044907647096,0.08465487477455386,0.04989074003189246,0.05342175280341777,0.060013839531848474,0.0913849684427114,0.02802280110608179,0.017501652256537752,0.01897919103654775,0.016498673759311973,0.014622970499516596,0.015740398197447037,theme_13,0.0913849684427114
MO,2023,0.002082911154091091,0.0101149433003991,0.06561523435023699,0.09018525825450864,0.0399341156415718,0.0778568868179183,0.05676324368293734,0.028126319462656955,0.0678415707339145,0.10743244282713307,0.06074522848777879,0.04358296132792246,0.06605436318263257,0.0827562055257336,0.046389328528298794,0.024993447786892893,0.0269629150489978,0.02259144470617707,0.0197211791020659,0.02136138024276396,theme_9,0.10743244282713307
MOS,2023,0.0017181668859469485,0.008932666561424179,0.046549826585327386,0.05135619145920354,0.02496950334780152,0.049509181599143845,0.03397736908927849,0.02085487381452702,0.03537917372961896,0.12648053147575453,0.07525122214729467,0.06512928934703549,0.062117560526747086,0.1441909548443559,0.027282064438189015,0.01697333663370113,0.018197834542511577,0.015343482049113802,0.013772504988732524,0.014639879349402774,theme_13,0.1441909548443559
MPC,2023,0.0024207317652664437,0.013820468692542229,0.07372618954121855,0.06686577708609195,0.05490173320604133,0.05331930881802208,0.046940953528561404,0.049574719064895606,0.1256233951018628,0.08148614545163214,0.05352215896200935,0.04797440881391801,0.04974915888340351,0.05969203476069934,0.04077101685714376,0.025411632144859024,0.028349487642471943,0.023882010505936458,0.02090003482762221,0.02263756012165916,theme_8,0.1256233951018628
MPWR,2023,0.0019679792832964804,0.008086935297314664,0.03947123364083619,0.04893135223838634,0.04855489554398976,0.0567859990333829,0.07502555962829591,0.022458382819326772,0.04050670586437399,0.029956933008976804,0.0263474192932993,0.02098315690275091,0.023964241801279974,0.024016268996094728,0.20001033981476896,0.04612122966717012,0.05620153820406606,0.043210463798341765,0.032045928035298134,0.03791580228140151,theme_14,0.20001033981476896
MRK,2023,3.110497281622864e-309,1.6107482826721986e-308,7.649559278937249e-308,7.94816678401398e-308,4.2044413806491295e-308,7.059792023457924e-308,5.180663485625715e-308,3.5893230070273236e-308,6.073298901693779e-308,1.7037949473669086e-307,1.1634327312989792e-307,9.436162950567495e-308,2.0272764256793226e-307,1.0,4.624484077508739e-308,2.8337092663103817e-308,3.0517047907605273e-308,2.637341999039059e-308,2.341118939239891e-308,2.503037498980152e-308,theme_13,1.0
MRNA,2023,3.032135128924003e-309,1.3155322388539404e-308,6.817033397263236e-308,9.644191947840765e-308,5.101699805898575e-308,1.0,2.508058143642433e-307,3.3640050306389234e-308,6.320635924840073e-308,7.082520033309618e-308,6.499241228167353e-308,5.212004565274497e-308,5.055827841793892e-308,6.213130940925306e-308,8.46961642474436e-308,5.303271885726118e-308,5.221135647630662e-308,4.1467026043983634e-308,3.7670954916242704e-308,3.985847830167637e-308,theme_5,1.0
MRSH,2023,0.0017569545787102987,0.008892189137738041,0.05668633455764039,0.05246528391828435,0.027228256066805706,0.04876830926363692,0.03595447221423037,0.02186962371873626,0.037225091721965316,0.0861053189502675,0.14904067383166847,0.06172641184686746,0.07419843995834514,0.095427235809454,0.029763333026504395,0.0177452952974958,0.01971647465770299,0.016058150399479283,0.014239274242742777,0.015176963082256242,theme_10,0.14904067383166847
MS,2023,0.5432511107731401,0.005590063609852115,0.004742168115833591,0.004669560523302606,0.004781904293143038,0.004633478319777253,0.0045797896399698244,0.005003182677982594,0.004897057988906633,0.004726384819125223,0.004753918585780585,0.004816837249298894,0.004689181405668874,0.004792515228004564,0.004558714255692764,0.004400955258087133,0.004470774408636003,0.004398183452832375,0.004332465954539238,0.004373032505177575,theme_0,0.5432511107731401
MSCI,2023,0.0017818945212645923,0.007907163500735297,0.049256168160590426,0.07894565844251832,0.04471475388299531,0.10095877347832834,0.13309074002175503,0.024335055705718436,0.06289634156077371,0.04325917593098932,0.035603941742227835,0.027176350583564404,0.030853220313868376,0.0337119889825044,0.09856369522532715,0.03273998540086694,0.03823209901886617,0.028284403187572745,0.02326355031760186,0.025808382120402297,theme_6,0.13309074002175503
MSFT,2023,0.002145161954100028,0.008465799433632185,0.03941327557974781,0.0461598344467041,0.06215542506020864,0.05220939625052896,0.07968611774125896,0.02656556732483724,0.04101516575002573,0.03167216798004341,0.02841176602149599,0.023101429678437035,0.02533389446130377,0.02583095957957477,0.102203930881747,0.07160938074715657,0.07306530995351458,0.057385445832941986,0.04562540910064718,0.05303900053386137,theme_14,0.102203930881747
MSI,2023,0.005014733367711008,0.5422896656820594,0.02187193723816291,0.019792713225733595,0.019334250658064805,0.01897032834717569,0.017330150279567455,0.024450483761687913,0.02439842130796379,0.02207024004981932,0.02149380953713015,0.023982488630937687,0.021634102587517214,0.024960608684347827,0.01675216970167184,0.01406962937418744,0.014976710416082301,0.013772455412901435,0.012900252891119332,0.013397782648494798,theme_1,0.5422896656820594
MTB,2023,0.0019734749739763113,0.010531671344036611,0.017967500787693526,0.01729401046782464,0.03706562730676395,0.01658178939873301,0.016999623996865852,0.2833352069570822,0.048257603365726424,0.017841547493451824,0.016853511804529774,0.0152519591997684,0.015580277179677967,0.015871404764587788,0.016676745300638413,0.012560733248305448,0.01365352378764373,0.012246918056215729,0.011128545862700677,0.01182036791341598,theme_7,0.2833352069570822
MTD,2023,2.89981834513996e-309,9.891461663791256e-309,2.688723629448392e-308,2.992111869300662e-308,3.2440159813804333e-308,3.2561232424168196e-308,4.0945017101975537e-308,2.011114434479957e-308,2.619656260952143e-308,2.362699681650924e-308,2.1280985009461566e-308,1.8745415269725737e-308,2.0449812283068537e-308,2.070154419476873e-308,4.784449266433341e-308,1.1771993356654163e-307,5.437314991167286e-308,1.3206753545177768e-307,2.7725718454157893e-307,1.0,theme_19,1.0
MU,2023,0.001227220551544479,0.006226903198456366,0.02832524555800832,0.030053880358144453,0.03677967703099937,0.026311909071783577,0.025409990888238143,0.02653970439054191,0.10635030874056771,0.030123484582650562,0.02239122287928556,0.017662307330734015,0.02263733486970316,0.023421381784241243,0.02280529676668592,0.012942696181114873,0.014479909963613551,0.012268346893895103,0.010587553259141954,0.011574856497947497,theme_8,0.10635030874056771
NCLH,2023,0.0022807848536953858,0.012292910248165178,0.07937919066012844,0.06663497061890569,0.05739911663740042,0.05758840970887571,0.048124126790748144,0.044341177552789275,0.0999205583747479,0.0776679382274362,0.06373238192428134,0.04787235346072487,0.05062398059479362,0.0548307674149208,0.0429780863265007,0.025171472611809263,0.02934426097926253,0.023035730471879595,0.02013085390648697,0.021682231549596327,theme_8,0.0999205583747479
NDAQ,2023,0.001937243733767366,0.00908814355467591,0.05225476932702307,0.07267115101302828,0.06945051797702037,0.06922036474853452,0.07731508298270477,0.03372213382465592,0.15022730974530116,0.048889388512253745,0.038275413072046065,0.029179790517875715,0.03491497307062451,0.03734569677081333,0.0681451823059969,0.028663228649398572,0.033214378291542314,0.02614646576200018,0.021986938886242258,0.02437112968384753,theme_8,0.15022730974530116
