ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,best_theme,best_score
JBL,2023,0.0027922622361372996,0.014378866274919406,0.01135792298196293,0.05246040329468926,0.017545738938931636,0.0455831057198912,0.008205842715361856,0.008406906151303609,0.026380514433475902,0.053133264102602204,0.02417871508207036,0.031391948497860735,0.027739767814078397,0.01923281562465179,0.04972707960412227,0.07001925110784245,0.03287479984564101,0.025325484286785986,0.07094727721547826,0.3479890195517999,0.03332046978236599,0.02553113185742961,theme_19,0.3479890195517999
JCI,2023,0.0029338331611555735,0.017593084114127588,0.014519985265482326,0.05860075966573113,0.022374970363470227,0.04256140760963363,0.010018291210622952,0.010213960885373357,0.03469486790039836,0.09108407311833958,0.034506357716332293,0.04070711137708239,0.04914752472343712,0.01882019833144824,0.22566262769927117,0.05239437748782892,0.028706060592291357,0.02639693610192256,0.03789207863653559,0.05316926239179635,0.06362506577539329,0.03764835847741816,theme_14,0.22566262769927117
JKHY,2023,4.722695150237204e-309,2.1353311363910804e-308,2.1360914922632516e-308,4.1646945519737235e-308,4.930897105110271e-308,5.158718685490631e-308,1.5835200412523683e-308,1.6142637416894095e-308,2.823233744535407e-308,3.7641519384867165e-308,3.1313014881228294e-308,3.269630448021492e-308,5.562208249889159e-308,7.467943423259404e-308,3.8232464179407246e-308,3.649222116448195e-308,1.0,1.3654992069246347e-307,6.638412841810495e-308,6.170995493747065e-308,3.31014622546348e-308,3.038618349206656e-308,theme_16,1.0
JNJ,2023,0.0016726032592566226,0.00786856534333,0.007365994446522928,0.015960912773466736,0.010560927352289744,0.014273513286177502,0.005551392003345623,0.005636455119089177,0.1330301032829201,0.01991874912460043,0.06680753964551064,0.08301215680532156,0.022190747701459474,0.00892281245730303,0.0258582610553515,0.017031990556856128,0.011758197642903496,0.011326742040110747,0.01310424870938628,0.016792563735716293,0.024189700812928847,0.013880447638860467,theme_8,0.1330301032829201
JPM,2023,0.0027751630930059426,0.01699086471113059,0.026918067005092947,0.022679387262460746,0.09460265767271324,0.02003090109679728,0.014154443591507526,0.01432891534464648,0.01913652873454859,0.023495446318829737,0.02140560206699433,0.020321198410861323,0.037678950309362774,0.030719982930650095,0.025735119830164552,0.019687881240641594,0.03021016794966847,0.04713334780730544,0.020455355353209644,0.0220607783013186,0.02252272498817999,0.021306925350112273,theme_4,0.09460265767271324
KDP,2023,4.714351551654055e-309,2.60483643623575e-308,2.3322338289670796e-308,6.535767285769164e-308,2.904752220288457e-308,4.3016669475322306e-308,1.6287623214963094e-308,1.6449219867769536e-308,4.3477330937887497e-308,8.388465429843777e-308,4.1580523941922195e-308,4.69085542393834e-308,5.040965048416684e-308,2.3868995282459515e-308,1.1611963896448043e-307,4.933710158959464e-308,3.348169304840892e-308,3.1926097070269812e-308,4.117178446331536e-308,4.759753299250164e-308,1.0,8.997660439474186e-308,theme_20,1.0
KEY,2023,0.0028308987400001147,0.013591719485001347,0.017187086676511053,0.017889499649139835,0.23930416740608257,0.01798016166851323,0.012082912230917505,0.012205075129536598,0.014785081189503559,0.01712862068799388,0.017111582685142398,0.01612102956692534,0.03339612286492519,0.039758278829756674,0.019624454558931824,0.015381971254999648,0.03642521832845115,0.09055338861907358,0.01841050183896427,0.018708346726114083,0.016938616772205435,0.01590478108325547,theme_4,0.23930416740608257
KEYS,2023,4.748130859145906e-309,2.4625038594088106e-308,1.9733120220625823e-308,8.506565256902884e-308,3.0961184436453157e-308,7.830634339912492e-308,1.410267008738374e-308,1.4447603270650486e-308,4.604954956903895e-308,8.814395334021661e-308,4.2378321487473293e-308,5.531372475641629e-308,4.957767265741761e-308,3.3901638491621877e-308,8.608201333113438e-308,1.2149401300958659e-307,5.880437676316613e-308,4.508483924864637e-308,1.1862284171361886e-307,1.0,5.576254903085274e-308,4.203203050657062e-308,theme_19,1.0
KHC,2023,4.70136737386808e-309,2.4861286731818453e-308,2.313981194381684e-308,6.748970445579415e-308,2.9817938929230717e-308,4.456781509488079e-308,1.6097077362625065e-308,1.624454161181343e-308,4.924350558870541e-308,7.99479396566039e-308,4.698811789913186e-308,5.378565613153517e-308,5.486571923835793e-308,2.4301682626530194e-308,1.3881447043115673e-307,5.137773964201435e-308,3.433031602629684e-308,3.277559685505321e-308,4.2243520657764687e-308,4.949943797237811e-308,1.0,7.943721286869824e-308,theme_20,1.0
KIM,2023,0.003218958289029779,0.01796761902771252,0.017305498540366955,0.04232694778678134,0.03274821839991214,0.04389525061815349,0.012207762219650338,0.012395329562918177,0.04439227445944098,0.056237103589785176,0.05151584041592749,0.04999089166781853,0.12091218131525076,0.024697285189619136,0.15541056284453297,0.03935151237525369,0.03502915055185243,0.03568124371975438,0.036673362010971766,0.04506548905302702,0.05791230776858664,0.037127087443759414,theme_14,0.15541056284453297
KKR,2023,4.736597205912186e-309,2.1802313669969155e-308,2.447942633424933e-308,3.38561995124916e-308,9.81927955231361e-308,3.856304573299374e-308,1.8072502243806936e-308,1.8361589562544877e-308,2.6754716055629537e-308,3.2847922681901024e-308,3.0747754709736727e-308,2.9953004641761357e-308,5.950593434651779e-308,1.2525805432622246e-307,3.5856415940868334e-308,3.019257471097983e-308,1.4746975707492198e-307,1.0,4.3274523162240904e-308,4.2421501397734605e-308,3.0549151257538825e-308,2.867034585181706e-308,theme_17,1.0
KLAC,2023,0.004016414472134397,0.01930721806856708,0.020361494015647116,0.012806470722388255,0.01838650107022152,0.011775396824606857,0.16248103853336404,0.24205351157280175,0.012639275978327714,0.014233643721911559,0.013486632133755349,0.012583768275035158,0.015921094618677453,0.014714778310487932,0.013996395267459853,0.011526086218207965,0.013567053834209437,0.01558701159242896,0.01156124403711433,0.012206735990796061,0.013500338962158413,0.014783562632918705,theme_7,0.24205351157280175
KMB,2023,0.003349381229713011,0.01767882848350931,0.01618788098014889,0.05485311989457438,0.02176493322409481,0.035443491663787234,0.011188881194386387,0.0113371400990666,0.037119892798211464,0.06262712988862094,0.03513503025715154,0.042152351110628705,0.04118092648968253,0.01821135975914291,0.0985814020866838,0.04213787597278551,0.026869312590843436,0.02488580034470047,0.03458636893466219,0.04230460635176638,0.23169867506164135,0.05140135796482784,theme_20,0.23169867506164135
KMI,2023,0.6287668159789688,0.005829329681900146,0.00574469415525092,0.005753189893589806,0.005699859696235367,0.00564300230681634,0.005504899148226908,0.0055910224508594975,0.0055721530695546214,0.005761116715866095,0.005561118645631887,0.005584528991446933,0.005663105450106902,0.005571742868546653,0.005692413902520785,0.00573632223933397,0.005651670806550006,0.005680749297542668,0.005670627255851587,0.005690000832904258,0.005638138941195747,0.005690072909880645,theme_0,0.6287668159789688
KO,2023,0.003314712439391172,0.016235347921980715,0.01792355399808228,0.011123131859581938,0.01607323576482627,0.010146304487326056,0.4849502663595739,0.11007030705429618,0.01102986389099059,0.012305272105261144,0.011833421616316713,0.010940176383159462,0.014043318587204723,0.012510631477510319,0.012263735970972975,0.00993079945809062,0.011647770737416187,0.013464140186524974,0.00992300235865124,0.010489624054627673,0.011762099401072468,0.012827917817661736,theme_6,0.4849502663595739
KR,2023,0.0036215602938188206,0.01911743923276898,0.0174373428233295,0.045460600378359146,0.021429764155846225,0.028421135518870235,0.01317549366296703,0.01321110616030694,0.025124129081736887,0.04289902956076152,0.025322702494891474,0.02667343687858484,0.03254300944297751,0.017324851017962464,0.04965422086403014,0.027611503695902356,0.023947258063168553,0.02312090756802471,0.02744196293845668,0.028939250852815512,0.08306189878247133,0.24881684632160117,theme_21,0.24881684632160117
KVUE,2023,0.005192284149980151,0.03317144961765963,0.48452586429309524,0.024388108182831703,0.03634885042942871,0.019434191479065183,0.02524330965006105,0.025365738886042936,0.02101886398665795,0.02646609755437032,0.02192367954658104,0.02138633541492257,0.028667757396267243,0.02364689804882725,0.025822196567731034,0.022319754431921926,0.023776657515595944,0.02865830009153466,0.019973173567214886,0.022071685361511755,0.024851990330406193,0.024020684629770837,theme_2,0.48452586429309524
