ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,theme_23,best_theme,best_score
KHC,2021,2.5773214111655687e-308,3.5364800561859503e-308,4.800320392367883e-309,4.82255952264966e-309,3.123996308143509e-308,2.959989409601193e-308,5.152236411570999e-308,2.638048009924455e-308,2.4908476378484575e-308,2.4396634899678237e-308,3.358549705547436e-308,4.1549983873242022e-308,7.482548147824968e-308,4.3610039440561473e-308,6.12787042118364e-308,2.6119721965395124e-308,1.0391367480863354e-307,1.0,5.203676991402745e-308,9.224260412841796e-308,3.65890783194142e-308,4.29078802653009e-308,4.3789049245648393e-308,4.4161563939390964e-308,theme_17,1.0
KIM,2021,4.19834304576882e-308,4.0878656270158287e-308,4.885286564624568e-309,4.905332134069853e-309,2.5105470986118777e-308,2.4646639252463297e-308,1.0,2.919879443272787e-308,2.6995554338288485e-308,2.5930587423179337e-308,2.352765633994339e-308,2.6504047084633316e-308,4.3340047912096937e-308,5.838489252186025e-308,3.868585288913844e-308,3.630270924129888e-308,4.380866948328426e-308,5.407882978387095e-308,3.1653697561704907e-308,4.580718274835863e-308,6.319629066547387e-308,5.26591888232473e-308,3.607207782352383e-308,4.491677521632848e-308,theme_6,1.0
KKR,2021,5.106018861866346e-308,2.6648260677114486e-308,4.96104106496468e-309,4.97800294522439e-309,2.402487433515785e-308,2.405410382363491e-308,6.539284219966939e-308,2.1750766215210967e-308,2.0786346707346296e-308,1.9847015004658133e-308,2.325378224468538e-308,2.510239371521868e-308,3.803644128769354e-308,4.714803168168687e-308,2.8117468495225803e-308,9.903322650653155e-308,3.473791868725638e-308,3.709427656429653e-308,3.0319895389546164e-308,4.049763326384137e-308,1.0,1.1837299107458917e-307,3.803030170145703e-308,5.495219656630629e-308,theme_20,1.0
KLAC,2021,2.0518113787998643e-308,2.31011763323157e-308,4.78029433129072e-309,4.801916148835054e-309,2.1290738923743783e-308,2.1191761612533234e-308,3.6638769578655017e-308,1.8921098122423013e-308,1.795812479830615e-308,1.775986186193169e-308,2.9728717329371875e-308,3.7816690305924705e-308,6.244430875480949e-308,6.715631267405297e-308,4.4465649966745225e-308,2.9658677723187604e-308,4.2019431392472936e-308,5.393847783467914e-308,1.1179315517041258e-307,9.169266432980215e-308,4.1432854311862235e-308,5.9347148396334665e-308,1.0,9.4200228287959e-308,theme_22,1.0
KMB,2021,0.013513932058493536,0.018229384077588354,0.0024778060169198717,0.002489255288430539,0.015876647909848485,0.01514519138715173,0.028320626411098254,0.013497346240860277,0.012714097955358755,0.012461555411937473,0.017290577882162195,0.021945608025021504,0.043994338483309546,0.024690958864445438,0.03328193088771799,0.014087868977390472,0.04753004019467527,0.4373312755620673,0.029735421526416075,0.059447093020518725,0.020194993078456746,0.024081022779169504,0.025179791797788308,0.02525450117308731,theme_17,0.4373312755620673
KMI,2021,4.858910903630757e-309,4.876837521095094e-309,3.910275232360921e-307,1.0,4.952852646123637e-309,4.90919896073013e-309,4.886369588442717e-309,4.853578316211297e-309,4.867089037234466e-309,4.866477318874197e-309,4.74216872727959e-309,4.79457951686766e-309,4.8986435037002e-309,4.81118217165373e-309,4.76201471494369e-309,4.99894613870569e-309,4.777600462742135e-309,4.827992630276124e-309,4.77487437157605e-309,4.857704712373403e-309,4.95466129213662e-309,4.92762332523843e-309,4.81588357883922e-309,4.892926135985684e-309,theme_3,1.0
KO,2021,0.01158976668007872,0.05086542390486261,0.0024057973464095463,0.0024172974844033344,0.010617964596933939,0.010210554085060134,0.013782124872408643,0.14257559395330208,0.2242107300711768,0.36486911663204635,0.008519681664610645,0.00936199384699603,0.009688190236907214,0.009445180796229457,0.014345145073446483,0.0085495431947097,0.010184216977141692,0.012067759836591035,0.008723267022717864,0.010366562122437032,0.01018494555429863,0.009198479122022086,0.008714122671204638,0.008694284512270922,theme_9,0.36486911663204635
KR,2021,0.01515859300319024,0.016932143907600294,0.0027558657126429092,0.002768452530993307,0.018180684604703328,0.01719387275892153,0.027354347353951546,0.013122977700344278,0.01251049251436396,0.012167560822888699,0.018791574395760936,0.02127199072040406,0.04619772851403714,0.02490052576038243,0.02384592161872043,0.014920141141471189,0.21838213185617264,0.08775997564463339,0.026424554638445553,0.04191458772792467,0.021150281545562543,0.02613279961980441,0.023301781534603626,0.026226183110524146,theme_16,0.21838213185617264
L,2021,0.0087041497413405,0.009333647806703739,0.0020393849513814046,0.0020497930758990677,0.016759829993111385,0.01882117717224969,0.010985972228038973,0.007989527888200707,0.007911747611438385,0.007639681190954964,0.0746911849675283,0.2636625628790693,0.015880429917807574,0.010518233402467806,0.011810281080883236,0.008734033344558323,0.01454496302765027,0.015873272082386404,0.016804313572003085,0.020727384919316992,0.010663132944687863,0.012118942215122188,0.013585035276294628,0.012384304709621752,theme_11,0.2636625628790693
LDOS,2021,0.009584501413404037,0.010457707906381425,0.0021862604008455857,0.002196539271769064,0.010717057558448406,0.010722200565716836,0.016565182456703676,0.008593679591001479,0.00823787103901174,0.008131395613233821,0.01674707235710237,0.021766150755621747,0.03601291408967623,0.025854284120025477,0.02038111892820513,0.014369558669884791,0.023046347549838565,0.028645474970075777,0.21441559051820583,0.063442008118392,0.01910886470003105,0.027430454310502467,0.07444117875948934,0.036248355835117346,theme_18,0.21441559051820583
