ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,best_theme,best_score
MA,2023,0.04440082189227659,0.06531927572164407,0.035591918951219284,0.053654704617510325,0.044575470871123214,0.03718718292626742,0.03461043352394059,0.028606570665461975,0.060815076667639335,0.04446457420098283,0.027693692761905902,0.03619874209299669,0.0729826751193906,0.119906008131193,0.09006341034148722,0.03029431307394898,0.04336419078897039,theme_13,0.119906008131193
MCD,2023,0.022993733608871452,0.029953416987631508,0.03443892543332259,0.023715663564221032,0.033986729283035456,0.021851531377609867,0.022949645949613025,0.02411392192803072,0.05705849963928284,0.058115219485353496,0.020046661758852544,0.027533074759169097,0.05409458368481522,0.039647655945571667,0.0327037625400976,0.030256021811764126,0.04708531220725481,theme_9,0.058115219485353496
META,2023,4.864739041137941e-308,4.839622877556964e-308,4.134151925294318e-308,1.0,7.16949144637198e-308,6.600891484591754e-308,7.377590788724711e-308,3.0757279590730106e-308,4.3623369389341873e-308,4.0074696702265953e-308,4.1962451424341616e-308,5.162959846360898e-308,5.434280670340331e-308,6.440138099884085e-308,5.051076249352245e-308,3.5340249144751606e-308,4.253448836157122e-308,theme_3,1.0
MRK,2023,0.04724353845585875,0.04059046213433884,0.053533765180664175,0.030122385191783566,0.041213152660328295,0.038434396609551565,0.03654299039937936,0.1887171662302754,0.05189628493325553,0.05153332230469689,0.03979099185158595,0.04041018174642844,0.04908322536553773,0.03352725865912901,0.038216282584747914,0.07913684115524587,0.06383737319008831,theme_7,0.1887171662302754
MS,2023,5.642678662946839e-308,1.0,4.313829901288924e-308,4.544696783746276e-308,4.413531778573584e-308,3.847774539459923e-308,3.715645375476919e-308,3.444610007297207e-308,5.605769179253091e-308,3.9006734404200063e-308,3.4067883345975564e-308,4.73230954102448e-308,5.836119050060004e-308,5.067579198284069e-308,5.04420481929556e-308,3.3938631117273404e-308,4.365150438517332e-308,theme_1,1.0
MSFT,2023,0.0362137111696061,0.07185588860778323,0.034448145990914926,0.06343151446576165,0.044969603675726444,0.035602123488098644,0.03640063502998394,0.025777863379452468,0.04341113910867048,0.03537589710931976,0.02822622692903268,0.04017898835729714,0.061756101502911415,0.07280972874543501,0.05253683974512127,0.02834138604667219,0.03894419297244316,theme_13,0.07280972874543501
NEE,2023,5.22192052730865e-308,5.444451321338038e-308,3.4883019636916584e-308,6.594317136039329e-308,6.272385769999028e-308,5.017457997102125e-308,4.3654424904023384e-308,3.4119421184509945e-308,5.649881992520332e-308,4.623836693404889e-308,3.0330279857567e-308,3.4682950614225697e-308,6.272892984648718e-308,1.3071435735897943e-307,1.0,3.5804175938139525e-308,5.299310331554711e-308,theme_14,1.0
NFLX,2023,5.659345507808729e-308,5.278070856779084e-308,4.64475485450079e-308,7.871151634808813e-308,1.0,9.40186588736002e-308,1.0930503133574085e-307,4.390611095717012e-308,5.238292494709701e-308,5.699293335660156e-308,4.612452817171338e-308,4.824879432615313e-308,6.648284124420304e-308,6.460123878016093e-308,6.411330688678552e-308,5.497350626123704e-308,7.344789376485448e-308,theme_4,1.0
NVDA,2023,0.032988208235245654,0.036274469807805736,0.026049834635320457,0.037686301868846105,0.04744767886284691,0.0354045938472163,0.03281531243608917,0.02350617212582171,0.03572096511401458,0.0312554192070724,0.022284755647985342,0.026193208247368316,0.05188656362188589,0.04687793872483012,0.04691389205530394,0.02558256775547314,0.0384119020478742,theme_12,0.05188656362188589
ORCL,2023,5.584706920863314e-308,5.741943691910541e-308,5.939079169942892e-308,4.182397014636632e-308,5.831215071445843e-308,4.470432572816419e-308,4.1843946976351423e-308,4.43885017410611e-308,1.0,1.2366863940058198e-307,3.690394368799543e-308,4.571412507894119e-308,8.16408115147016e-308,6.518182357216992e-308,7.22065131082955e-308,5.116319839911059e-308,7.356146561747558e-308,theme_8,1.0
PEP,2023,0.038383585301137446,0.05581752275718183,0.02881888758782744,0.05082104224994025,0.056444105583132544,0.03933764474748412,0.03677255524706434,0.02742514574897887,0.042061408846946396,0.034153697956027324,0.02509869123005764,0.029954168030974213,0.06132873456349795,0.06696603028132792,0.0925149021119705,0.029371983548208976,0.04516750383258232,theme_14,0.0925149021119705
PG,2023,5.218071583756751e-308,1.0,4.190645377735129e-308,4.602241934985572e-308,4.575240635854742e-308,3.967604319145124e-308,3.9351596871691267e-308,3.5095149625389397e-308,4.8532869595344e-308,3.627560442314795e-308,3.506651263402658e-308,4.815832843130664e-308,5.978039417185765e-308,4.66823342863808e-308,4.581846455757332e-308,3.455693850886946e-308,4.3841883228378227e-308,theme_1,1.0
PM,2023,3.555206069422616e-308,3.494180166394478e-308,6.361318454394061e-308,3.3283490999309107e-308,5.709499501932588e-308,4.1950984691749523e-308,4.814282713539106e-308,7.62086323806371e-308,4.86296194721784e-308,9.321340389916537e-308,4.607771406961166e-308,4.494687478059139e-308,5.190682062791752e-308,3.6124413107351524e-308,3.4548239015559226e-308,1.0,8.496216353347285e-308,theme_15,1.0
QCOM,2023,0.024232645577160268,0.02180212680617984,0.028737357670834556,0.02031326950317658,0.039574472140169785,0.02786914504994078,0.029049726536704897,0.047436972379981616,0.03050108320135107,0.04533043040349706,0.02382320521449952,0.02262765580642596,0.03338559930175448,0.023263395482576124,0.024534758086726012,0.07598885972442414,0.06674973442526637,theme_15,0.07598885972442414
RTX,2023,4.551250793441621e-308,4.529402859260712e-308,6.78525778551776e-308,4.2974183537945737e-308,6.510167475881797e-308,4.647923200492561e-308,4.670578119086958e-308,4.881088193011024e-308,1.3727470341624435e-307,1.0,4.0553945731857426e-308,4.812163698490239e-308,7.764045866797901e-308,6.461963767293761e-308,5.957993704502346e-308,6.73956402300729e-308,8.853757828902394e-308,theme_9,1.0
SPGI,2023,0.043861447359793644,0.029219170082104822,0.051171273798785624,0.03789422401634526,0.04560567625799928,0.09828630025738025,0.10539390546705098,0.03997761683176714,0.036849582043683014,0.040243505833053375,0.0865222944262736,0.05123257355732441,0.033467707178027155,0.028625216799599118,0.027019749758088164,0.043581004574257114,0.038798451792779215,theme_6,0.10539390546705098
TMO,2023,0.026616213805265024,0.037075333705306565,0.03408787755640746,0.05294870648305098,0.04659667542799406,0.030656176786381575,0.034842616696120696,0.02186015834235745,0.03972273707478692,0.03815909223330053,0.025670112149460696,0.037675431673748795,0.06506434429291787,0.06960303095219791,0.03548587289375205,0.02771377730916055,0.039208609417300866,theme_13,0.06960303095219791
TSLA,2023,5.463922241552887e-308,4.410583863428086e-308,5.327884531696305e-308,7.756695516153354e-308,1.053639169063523e-307,1.3426621388094443e-307,1.0,4.3182284585965426e-308,4.652778915962403e-308,5.298060661692296e-308,6.893648689797753e-308,6.374243514005451e-308,5.188628283927327e-308,4.756809166880447e-308,4.3008582435948996e-308,5.371114544035468e-308,5.613667902795884e-308,theme_6,1.0
TXN,2023,5.465655609838147e-308,3.862459185176883e-308,4.986522587833303e-308,5.988561628992721e-308,7.076716288475651e-308,1.3313684381676683e-307,1.0,4.3426803187594786e-308,4.1055430731017906e-308,4.395954649535413e-308,8.041600432782994e-308,5.953868873885657e-308,4.1391793838076586e-308,3.814111058084432e-308,3.7006784629276953e-308,4.715116329506345e-308,4.759450999650436e-308,theme_6,1.0
UNH,2023,4.237556038839102e-308,3.7102755181938574e-308,5.137000628742375e-308,2.983381457060251e-308,4.221953657201252e-308,4.0654734850074664e-308,3.8685907294879034e-308,1.0,4.487986607449021e-308,5.15971216790825e-308,4.3151963207337037e-308,3.962888855797576e-308,4.527650030113959e-308,3.1664118983212993e-308,3.490411961579737e-308,9.932747385429592e-308,6.542918123604462e-308,theme_7,1.0
V,2023,4.2306727582788327e-308,4.256002514377074e-308,7.933571339405175e-308,4.372636261589898e-308,7.690543329011654e-308,5.015065224760674e-308,5.495487233826399e-308,5.796774004687927e-308,8.815896898195865e-308,1.0,4.668859266807457e-308,5.32961879830523e-308,6.943946355908711e-308,5.613795260022271e-308,4.936361758795627e-308,1.0826545398096815e-307,1.1487990255345512e-307,theme_9,1.0
WFC,2023,4.829143596339659e-308,4.655622584006983e-308,1.0,4.216207580136641e-308,4.433389989226567e-308,5.018243026559242e-308,5.216899339115479e-308,5.71582499369243e-308,6.006071991886048e-308,5.808827314637759e-308,9.88242857459788e-308,1.0564773701166758e-307,4.874162353162284e-308,3.772291804412453e-308,3.518542867274065e-308,6.054090854931955e-308,4.7458071356536e-308,theme_2,1.0
WMT,2023,4.0763322960365575e-308,4.874323433297347e-308,9.810250193964953e-308,4.870806388665562e-308,4.3073088250575045e-308,4.4157989374869597e-308,5.290118996110384e-308,4.178323261545324e-308,4.465279050413968e-308,4.610487073928725e-308,9.15968872828408e-308,1.0,4.701512113233744e-308,3.765393428417141e-308,3.1918787573997305e-308,4.6312737812265e-308,4.261163981992878e-308,theme_11,1.0
XOM,2023,4.1131888322384297e-308,4.2643151391423275e-308,9.657564882133118e-308,4.769860790897899e-308,4.072395469113964e-308,4.685742829844062e-308,5.682494013808595e-308,4.127057806729722e-308,4.1225617402540865e-308,4.258000365044936e-308,1.408590155837972e-307,1.0,4.1746631103162473e-308,3.4235966102723205e-308,2.963041481129209e-308,4.4226939488938124e-308,3.933414788339679e-308,theme_11,1.0
