ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,best_theme,best_score
AMCR,2021,0.012515249721966293,0.024893189073931395,0.0016555940972146146,0.0016585190958589258,0.053508299374608596,0.033495059603491334,0.022523343652299382,0.03358594599293514,0.02224774587428847,0.029669688119285637,0.027009365584599033,0.05718526692248657,0.045492739107280314,0.0765543588551929,0.3047412146521811,0.039958545683560616,0.024548228268221787,0.03216651561835707,0.02592540313342494,0.02275108328877015,0.023482002196898465,theme_14,0.3047412146521811
AMD,2021,1.478469301091996e-308,4.775923495995774e-308,2.851953344668764e-309,2.856651696297e-309,3.363243740118071e-308,3.092427260660348e-308,2.606461000260276e-308,3.378582080265398e-308,2.444621603254565e-308,3.308761915462439e-308,2.950094765081553e-308,3.866802839285774e-308,4.518450540456561e-308,5.670551612643039e-308,4.132786534013108e-308,2.6125833666222386e-308,1.4387699023936196e-307,1.0,1.5972257794795966e-307,9.152823685773397e-308,9.099551217041487e-308,theme_17,1.0
AME,2021,2.5516578999910304e-308,3.9385182525041973e-308,2.8340515758995e-309,2.83848298872016e-309,6.715782117757084e-308,1.2798018927804985e-307,7.765939850244918e-308,1.7552279468713915e-307,7.042165146917063e-308,1.0,1.6348473487418236e-307,7.75418269753148e-308,7.832315209838537e-308,6.351369385501587e-308,5.1060011550458e-308,3.6798221736379727e-308,2.944877704082997e-308,4.0241787742190124e-308,3.3777226870338373e-308,2.696442677776187e-308,2.7635465132240223e-308,theme_9,1.0
AMGN,2021,1.0,2.050895150123062e-308,2.80448414337652e-309,2.809323005021225e-309,3.228224684473499e-308,2.9572367830113044e-308,3.5584825771305506e-308,2.4442480714621404e-308,4.2823640240831324e-308,2.6266038023755455e-308,3.1740151568207575e-308,2.312701092739909e-308,2.3613183596061413e-308,2.2443138820621696e-308,2.2358280728802045e-308,2.2109938847879272e-308,1.406578752276482e-308,1.6177060628996944e-308,1.483078397568098e-308,1.3612658129946605e-308,1.3840458885471265e-308,theme_0,1.0
AMP,2021,0.013571405317065537,0.024410502202909187,0.001619122471084882,0.0016216832702671802,0.04132268727199505,0.07271185324207398,0.0409835264476791,0.16053207107416145,0.034728566875047925,0.15056337138688297,0.07033425697663584,0.05476231247112066,0.050719720581136475,0.04336740807067541,0.03240475933810649,0.021877231081806826,0.019260845073271537,0.027643766137270452,0.022600022852727806,0.01743595792341422,0.017894106594194797,theme_7,0.16053207107416145
AMT,2021,2.327800910127788e-308,3.5752243003123148e-308,2.850230741106167e-309,2.85526330496074e-309,1.1921259122624925e-307,6.155109286355887e-308,3.956370339555152e-308,6.287947903253659e-308,4.0678028320304675e-308,5.21003204009567e-308,4.847331237939807e-308,1.1452453910612124e-307,6.437158261560137e-308,8.335544886577227e-308,1.0,9.689260311905701e-308,3.5130644538250436e-308,4.4167183680612555e-308,3.748042105371713e-308,3.300800770369163e-308,3.383140408286025e-308,theme_14,1.0
AMZN,2021,0.011592842254754016,0.04788504203049101,0.0018616856692045265,0.0018650624376876839,0.032226063780168186,0.026203890153545562,0.021202344319196275,0.026390535696709867,0.02096409006939452,0.026567553868775812,0.02423062306634157,0.033298469204489846,0.04404722563007734,0.0684789967848401,0.039027999983881456,0.021407537140494932,0.05836153258397044,0.07346184370470697,0.05402248500174151,0.04915757710093681,0.0514499861143671,theme_17,0.07346184370470697
ANET,2021,0.010338847024872982,0.045686687753618095,0.0018465580171498912,0.001849949564178718,0.024223795848226214,0.02143208877650776,0.017749292655536153,0.021281862932204805,0.017855036687628896,0.02119122789945718,0.020019524586131442,0.025902374685996755,0.030680441594408983,0.04116006129874991,0.029945345356393066,0.017985021834575635,0.09548456946322272,0.07684727076433409,0.14559988671393367,0.06643293396521713,0.06686153700099262,theme_18,0.14559988671393367
AON,2021,0.014149522322384617,0.02121844566142888,0.0016802971676759808,0.0016832701843632603,0.08214157291787792,0.03798869875250957,0.02494576193586379,0.040243943571995136,0.024905768914220597,0.03248979292823574,0.029703871457326857,0.06891492920328438,0.04211301408281409,0.05141393277597409,0.22804988655707512,0.06530635777129072,0.020912842220128954,0.026440963123911646,0.022293883254694346,0.019662542020389792,0.02016487467674075,theme_14,0.22804988655707512
AOS,2021,0.012709615896070212,0.03114048136034935,0.0014781095318306976,0.0014806839804903035,0.05976182560679198,0.04518994796923137,0.029957349723321338,0.043345649373276396,0.028450569317880817,0.045460416759802356,0.03767450482645282,0.06819008890610924,0.10240181067637062,0.1380947446186607,0.047197514412360905,0.024637034016029416,0.023080334361048102,0.03422033714949399,0.02575503683601432,0.020950158126590214,0.021441534211499726,theme_13,0.1380947446186607
