method,year,theme_id,n_members,avg_affinity,members
tfidf,2019,0,25,0.795,"AMAT, AVY, C, CAH, CHD, COP, CTRA, DTE, DVN, ED, EIX, ETR, FCX, GNRC, GWW, KMI, LYB, MS, O, OXY, PHM, PSX, VLO, WAT, WY"
tfidf,2019,11,12,0.738,"CHRW, CSX, DAL, EXPD, FDX, JBHT, LUV, NSC, ODFL, UBER, UNP, WAB"
tfidf,2019,19,16,0.664,"ADI, AVGO, CDNS, COHR, GLW, KEYS, KLAC, LITE, LRCX, MPWR, SMCI, SNPS, STX, SWKS, TXN, WDC"
tfidf,2019,9,17,0.641,"ACGL, AFL, AIG, AJG, BRK-B, CB, CINF, EG, ERIE, GL, HIG, L, MET, PGR, TRV, VRSK, WRB"
tfidf,2019,6,17,0.61,"BAC, BK, CFG, COF, FITB, HBAN, JPM, KEY, MTB, NTRS, PNC, RF, RJF, STT, TFC, USB, WFC"
tfidf,2019,14,18,0.592,"ABBV, ABT, ALGN, BDX, BSX, COO, DXCM, EW, GILD, INCY, JNJ, LLY, MDT, MRK, PODD, REGN, SYK, VRTX"
tfidf,2019,17,17,0.583,"AMZN, CHTR, CMCSA, DIS, EA, FOX, FOXA, HAS, NFLX, NWS, NWSA, T, TMUS, TTWO, VRSN, VZ, WBD"
tfidf,2019,4,23,0.565,"AEE, AEP, AES, ATO, CMS, CNP, D, DUK, ES, EVRG, EXC, FSLR, LNT, NI, NRG, PCG, PEG, PNW, PPL, SRE, VST, WEC, XEL"
tfidf,2019,10,20,0.55,"ACN, ADP, AON, BR, CPAY, CTSH, EFX, FICO, FIS, FISV, GPN, IBM, IT, MRSH, OMC, PAYX, SYF, TTD, TYL, WTW"
tfidf,2019,5,27,0.545,"AMT, ARE, BXP, CBRE, CPT, CSGP, DHI, DOC, EQR, ESS, FRT, KIM, LEN, LVS, MAA, MGM, NVR, PLD, PSA, REG, SBAC, SPG, UDR, VICI, VTR, WELL, WYNN"
tfidf,2019,1,22,0.521,"ALL, AMGN, APH, BMY, CPRT, DGX, GS, IP, LH, MCO, MSI, NDSN, NEM, NKE, ON, PFE, SCHW, SO, UPS, VTRS, WMB, ZTS"
tfidf,2019,18,22,0.521,"ADBE, AKAM, ANET, CIEN, CRM, CRWD, DDOG, DELL, DLR, EQIX, FTNT, GDDY, GOOGL, HPE, HPQ, MSFT, NOW, NTAP, NVDA, ORCL, PANW, WDAY"
tfidf,2019,2,48,0.509,"AIZ, AMCR, AVB, AWK, BF-B, BIIB, BRO, CSCO, DHR, EL, EPAM, EXR, FAST, FDS, FFIV, FIX, FTV, GE, GEN, GRMN, HLT, HST, INTC, INVH, IR, ISRG, J, KO, LULU, LYV, MA, MCD, MCHP, MU, NEE, NXPI, PEP, PFG, PTC, PYPL, QCOM, RMD, SATS, STZ, TEL, TT, UAL, V"
tfidf,2019,15,22,0.503,"AZO, BBY, CASY, COST, DECK, DG, DLTR, DPZ, DRI, GPC, HD, LOW, ORLY, RL, ROST, TGT, TJX, TPR, TSCO, ULTA, WSM, YUM"
tfidf,2021,4,8,1.0,"AMGN, APH, IP, MSI, NDSN, NKE, PFE, ZTS"
tfidf,2021,7,8,1.0,"FDX, FFIV, GEN, LHX, PYPL, SATS, TPL, V"
tfidf,2021,8,8,1.0,"AIZ, ARES, BX, HLT, INVH, LYV, TEL, TTD"
tfidf,2021,2,10,0.972,"APA, C, CAG, CAH, CHD, DTE, EIX, HON, MAA, WAT"
tfidf,2021,3,9,0.939,"CTRA, FCX, GWW, KMI, O, OXY, PHM, PSX, VLO"
tfidf,2021,20,9,0.919,"AMP, AON, BEN, IVZ, KKR, MSCI, RJF, STT, TROW"
tfidf,2021,19,9,0.918,"APTV, CARR, CMI, DE, F, JCI, LII, OTIS, PCAR"
tfidf,2021,13,12,0.886,"CHTR, CMCSA, DIS, FOX, FOXA, NFLX, NWS, NWSA, T, TMUS, VZ, WBD"
tfidf,2021,5,10,0.867,"ALL, AZO, CI, EOG, FE, GS, MCO, SCHW, SO, UPS"
tfidf,2021,9,14,0.852,"AWK, BF-B, DAL, EL, EPAM, FDS, FIX, GE, HSY, INTC, KO, MCD, NXPI, PEP"
tfidf,2021,12,10,0.825,"CHRW, CSX, EXPD, JBHT, NSC, ODFL, UAL, UBER, UNP, WAB"
tfidf,2021,21,12,0.753,"ACN, ADP, AXP, BR, CPAY, CTSH, EFX, FIS, FISV, GPN, OMC, PAYX"
tfidf,2021,15,17,0.676,"AFL, AIG, AJG, BRK-B, BRO, CB, CINF, EG, ERIE, GL, HIG, MET, PGR, PRU, TRV, VRSK, WRB"
tfidf,2021,0,15,0.673,"BAC, BK, CFG, COF, FITB, HBAN, JPM, KEY, MTB, NTRS, PNC, RF, TFC, USB, WFC"
tfidf,2021,22,17,0.649,"ADI, AVGO, CDNS, CDW, DELL, HPQ, KEYS, KLAC, LRCX, MPWR, PTC, SMCI, SNPS, SWKS, TER, TXN, ZBRA"
tfidf,2021,23,16,0.645,"ADBE, ANET, APP, CRM, CRWD, DDOG, FTNT, HOOD, INTU, JKHY, MSFT, NOW, NTAP, ORCL, PANW, PLTR"
tfidf,2021,1,16,0.613,"AMCR, BIIB, CCI, DHR, FAST, FTV, HAS, ISRG, J, MA, PWR, ROK, STZ, TECH, TT, VRT"
tfidf,2021,10,24,0.573,"AEE, AEP, AES, ATO, CEG, CMS, CNP, D, DUK, ES, ETR, EVRG, EXC, FSLR, LNT, NI, NRG, PCG, PEG, PNW, PPL, SRE, VST, XEL"
tfidf,2021,11,16,0.548,"APD, BKR, CF, CVX, EQT, EXE, FANG, HAL, L, LIN, MOS, MPC, OKE, SLB, TRGP, XOM"
tfidf,2021,16,20,0.537,"BBY, CASY, COST, DECK, DG, DLTR, HD, KR, LOW, ORLY, RL, ROST, SBUX, TGT, TJX, TPR, TSCO, ULTA, WMT, WSM"
tfidf,2021,18,20,0.486,"AME, AOS, BA, DOV, ECL, GD, HII, IEX, ITW, LMT, NOC, PH, PNR, RTX, SNA, SWK, TDG, TDY, TXT, XYL"
tfidf,2021,17,30,0.457,"ADM, AVY, BALL, CL, CLX, CMG, CPB, CTAS, CTVA, DPZ, DRI, ETN, GIS, HRL, IFF, KDP, KHC, KMB, MAS, MDLZ, MKC, MMM, PG, PM, PPG, SHW, SJM, SYY, TSN, YUM"
tfidf,2021,6,25,0.442,"AMT, BXP, CBRE, CPT, CSGP, DHI, DOC, EQR, ESS, FRT, KIM, LEN, MCHP, MGM, MU, NDAQ, NVR, PLD, REG, SPG, UDR, VICI, VTR, VTRS, WELL"
tfidf,2021,14,33,0.338,"ABBV, ABT, ALGN, BAX, BDX, BSX, CNC, COO, COR, CVS, DVA, DXCM, ELV, EW, GILD, HCA, HSIC, HUM, INCY, JNJ, LLY, MCK, MDT, MRK, MRNA, PODD, REGN, STE, SYK, UHS, UNH, VRTX, ZBH"
tfidf,2023,4,8,1.0,"CVX, EQT, EXE, FANG, L, MPC, TRGP, XOM"
tfidf,2023,9,8,1.0,"CHRW, CSX, EXPD, JBHT, NSC, ODFL, UNP, WAB"
tfidf,2023,12,8,1.0,"ABBV, ALGN, INCY, LLY, MRK, MRNA, REGN, VRTX"
tfidf,2023,17,8,1.0,"AMP, BEN, IVZ, KKR, PRU, RJF, STT, TROW"
tfidf,2023,10,9,0.907,"CNC, CVS, DVA, ELV, HCA, HSIC, HUM, UHS, UNH"
tfidf,2023,13,9,0.903,"BA, GD, HII, LDOS, LMT, NOC, RTX, TDG, TXT"
tfidf,2023,11,10,0.868,"ABT, BAX, BDX, BSX, COR, EW, GEHC, MCK, MDT, SYK"
tfidf,2023,20,17,0.779,"ACN, ADP, AON, AXP, BR, CTSH, EFX, FIS, FISV, JKHY, MRSH, MSCI, OMC, PAYX, TYL, V, WTW"
tfidf,2023,14,16,0.759,"ADSK, CDNS, COHR, DELL, EMR, JBL, KEYS, LRCX, MPWR, ROP, SNPS, SWKS, TER, TRMB, TXN, ZBRA"
tfidf,2023,0,25,0.741,"AMAT, APA, C, CAH, CHD, COP, CTRA, DTE, DVN, ED, EIX, FCX, GWW, HON, KMI, LYB, MAA, MS, O, OXY, PHM, PSX, VLO, WAT, WY"
tfidf,2023,7,14,0.721,"AIZ, APO, ARES, AVB, AXON, BX, FDS, HLT, INVH, LULU, LYV, PTC, TEL, TTD"
tfidf,2023,5,22,0.72,"AEE, AEP, AES, ATO, CEG, CMS, CNP, D, DUK, ES, ETR, EVRG, EXC, LNT, NI, NRG, PEG, PNW, PPL, SRE, VST, XEL"
