ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,best_theme,best_score
GPC,2023,0.002406757556536234,0.0015294214997636658,0.053007252363052884,0.04287683339066059,0.056178692519769154,0.0735459379609882,0.040424767552295626,0.04895794070623165,0.049657935387959685,0.08278479515529458,0.247976941112942,0.10083077757641765,0.046144492346136955,0.039318195905404627,0.04724145280475481,theme_10,0.247976941112942
GPN,2023,0.0008457366039911534,0.0005393056277211638,0.020093079028439393,0.023410026637688357,0.024601981721728092,0.04900536562249875,0.014065990540257096,0.018396917190102016,0.026322004083712013,0.034609281554718145,0.025704978108139646,0.03900049298807006,0.0456500678212671,0.021730392743014863,0.033274119082572905,theme_5,0.04900536562249875
GRMN,2023,0.0019168841944563625,0.001210110806689144,0.025132916749341597,0.03422839681943558,0.039443056494232624,0.03765354721361424,0.027171459385976218,0.03557758176965735,0.09324306788101216,0.03919503330423233,0.028784067769367257,0.030781007268127106,0.06505544354363224,0.14712274025026836,0.19854468100335115,theme_14,0.19854468100335115
GS,2023,0.6526788544814782,0.007641003430440389,0.005616357942906961,0.0057206871336561915,0.005745349956167284,0.0057881840754387915,0.005810823641913743,0.00580944438821698,0.0058290232562094755,0.005721726520770471,0.0057912181057716864,0.005815457810618584,0.005758599378423796,0.005831125290322211,0.005784964085152308,theme_0,0.6526788544814782
GWW,2023,0.005054004610747043,0.5999971002859313,0.0023977959093459,0.002418681220526794,0.0024100334118064112,0.002424442929798966,0.0024221144832070923,0.0024205643107883747,0.002435305477417389,0.00242283955805687,0.002433291360780832,0.0024461109316916106,0.0024185838324292416,0.002427551884568703,0.0024214238552109513,theme_1,0.5999971002859313
HAL,2023,0.002136949582711058,0.001350045722910242,0.04467954598866483,0.03962574861632075,0.05675865533073108,0.06609558440536811,0.039357125715488606,0.04691173414281466,0.059039147490035346,0.06424390803990085,0.08492671196856089,0.08387313010724669,0.05327899391768565,0.04217019856069446,0.04981301553856375,theme_10,0.08492671196856089
HAS,2023,1.868599234563183e-309,1.19777291911139e-309,4.822039916656177e-308,4.780084696054377e-308,4.543346613400039e-308,6.223521433094961e-308,2.908595076037259e-308,3.558285983073524e-308,5.645910577070789e-308,1.0,5.559214332643865e-308,7.710428670318483e-308,6.405649507131594e-308,4.28966025376519e-308,6.852057769753861e-308,theme_9,1.0
HBAN,2023,1.89921821747729e-309,1.198380190730797e-309,3.270390215444194e-308,3.314140356187669e-308,3.7457928181829527e-308,3.8594938734513155e-308,1.2973761745346438e-307,1.0,3.728717484220466e-308,2.699608545591814e-308,3.5165805910129204e-308,2.3705071038244026e-308,3.098445335310883e-308,3.943282264221527e-308,3.2907045985765605e-308,theme_7,1.0
HCA,2023,0.0021502366286366495,0.00137379425141242,0.04132132797132774,0.11572839741411013,0.043433716897170224,0.07654389159945418,0.031368707141080365,0.03928484049262541,0.037751838887899035,0.04528889988207189,0.042965419803598075,0.042676837522549034,0.04947245327290842,0.04160483189477876,0.04409481913004487,theme_3,0.11572839741411013
HD,2023,0.0016154797784658445,0.001024637563233127,0.031982421311479034,0.028951628496960844,0.031480278365936844,0.031365004579829,0.10922748063758904,0.20944817249361977,0.028761928207912638,0.02335552705877238,0.030432771727426127,0.02000074390700581,0.025257131786467407,0.02945076194127161,0.025772169003757735,theme_7,0.20944817249361977
HIG,2023,0.00247458936048131,0.0015699090841575602,0.05472664939646446,0.04984916796082054,0.0837952067775136,0.24482071479165063,0.055039485655773296,0.07886885239352892,0.054905255354534,0.05335953787734306,0.11707532963703095,0.05621032319258886,0.04652184686981407,0.04520949172305167,0.04724431271783661,theme_5,0.24482071479165063
HII,2023,0.002050985064666655,0.0012974693853444743,0.035844211529732384,0.03173261620293467,0.04023287448758904,0.0697882858811318,0.029666411463585847,0.037136477141565497,0.04278095955008037,0.05054214730186675,0.1157928629228864,0.07861288671394095,0.0353710304698186,0.030670840398143835,0.03663043715947541,theme_10,0.1157928629228864
HLT,2023,1.91174765146721e-309,1.20522801491912e-309,2.521443340117834e-308,3.525203049131862e-308,3.6710646505395103e-308,3.679597257917021e-308,2.9771435258506074e-308,4.026528554734181e-308,9.45236007838529e-308,3.4472797633238743e-308,2.8486436374356113e-308,2.8259033154107475e-308,6.368485950632706e-308,1.0,1.0879384489051096e-307,theme_13,1.0
HON,2023,2.510699728966304e-309,1.0,1.189668134116943e-309,1.200095750333687e-309,1.195724396690595e-309,1.202903737782034e-309,1.201787963766455e-309,1.20102946214911e-309,1.2083661441028e-309,1.20208874592277e-309,1.20722217391924e-309,1.21359273459287e-309,1.19999765593296e-309,1.204568420391513e-309,1.201484178785797e-309,theme_1,1.0
HOOD,2023,0.0020354132336560097,0.0012997093759280817,0.03314225983898146,0.03549371142657645,0.03993107370362906,0.056635596033692746,0.02297152521319293,0.027466124774636315,0.042242457004901694,0.1159345755166859,0.052873727844864285,0.2273004270290629,0.05272874011336811,0.03185189275188747,0.05663836085064913,theme_11,0.2273004270290629
HPE,2023,0.0019443201110055106,0.0012366129204336948,0.03611446658108589,0.05308132748292502,0.046816421673540415,0.06313100944276615,0.03044458097521364,0.03831742214751799,0.07023669730579588,0.0674308449191233,0.04020530298542721,0.05197625035428496,0.17184396234572097,0.08010465360096346,0.0919614968984406,theme_12,0.17184396234572097
HPQ,2023,0.001936571748645652,0.001232465132325433,0.03666772255489893,0.05114651732874127,0.04688108562097341,0.06393182338559131,0.029545027062130923,0.036800449570708375,0.06592188576981114,0.07745952030579756,0.042125346956801236,0.05823076327973409,0.1816413175229941,0.06866202713072979,0.09902208006948099,theme_12,0.1816413175229941
HRL,2023,1.83960972294958e-309,1.18920621905761e-309,1.0,3.6012921631189905e-308,2.796521555969261e-308,3.358773807772493e-308,3.101336990238144e-308,3.5632375830149734e-308,2.6565213209105967e-308,3.4428933710330176e-308,3.728832655167089e-308,2.74020483435228e-308,2.69740879487233e-308,2.3649620790198237e-308,2.3989815682438663e-308,theme_2,1.0
HSIC,2023,0.0021430666989785247,0.0013722439102952704,0.056299581994774445,0.11014810992785252,0.04150393570585359,0.07483131535246512,0.03379619448521563,0.04302842982376617,0.03587521237949,0.049094530574792815,0.05208797514407362,0.04483948231012088,0.042309324394161615,0.03546417411567022,0.03851886015987994,theme_3,0.11014810992785252
HST,2023,0.0019407409199351366,0.0012370694081706582,0.036225424541127225,0.05272589461977892,0.04809767067360393,0.06206283510243709,0.030246229229108072,0.03792348384761594,0.07347166904486191,0.05873179153324334,0.0386545952444389,0.05107114086766891,0.1744766252114762,0.08050085139110885,0.08736630025753042,theme_12,0.1744766252114762
HSY,2023,0.002111489321244148,0.0013304975642717284,0.02682779508319762,0.03824378361007043,0.04040177499115389,0.039526864140962785,0.03169115648779013,0.04272481121801475,0.09494177223582984,0.03693632411098189,0.030399439175080215,0.030623557291306447,0.06209107061521111,0.3666969266046776,0.12597991110320877,theme_13,0.3666969266046776
HUBB,2023,0.0020641301134659237,0.0013107704117541893,0.041933663918835934,0.04218922490158693,0.058528892347495746,0.0693534088064188,0.03261146930559831,0.03878095606168786,0.05784146034088744,0.10215508662186185,0.08023844127548907,0.1438821608351806,0.057110985833363756,0.04284432212928574,0.06478835220870494,theme_11,0.1438821608351806
HUM,2023,0.0009406809610981149,0.0005997825347883809,0.02082007545457365,0.0390994604754262,0.027198191765756233,0.04883540647529098,0.01641687056844289,0.020977681338395577,0.027077716312409923,0.029483026335614424,0.02304723676701594,0.027511692178705482,0.045030345449444446,0.029586671583529373,0.03521777301971259,theme_5,0.04883540647529098
HWM,2023,1.89778221597058e-309,1.20024694757166e-309,2.6031492367695937e-308,3.54003986462292e-308,4.3486571056738854e-308,4.3142945552770575e-308,2.682390881284825e-308,3.597583067843144e-308,8.779690500129095e-308,4.367996397539242e-308,3.084665416266911e-308,3.3945061500329743e-308,7.270420549273746e-308,1.2625595551897717e-307,1.0,theme_14,1.0
IBKR,2023,1.889538723224023e-309,1.19805020243142e-309,2.51894756533677e-308,3.30880231189369e-308,4.3149804658581433e-308,4.0339831989142474e-308,2.4157502341039356e-308,3.06186231754986e-308,7.128568580688902e-308,4.645959791953622e-308,2.9562972075269734e-308,3.6237873354417387e-308,8.611775757453674e-308,8.433095212321829e-308,1.0,theme_14,1.0
IBM,2023,1.90776629514948e-309,1.21356199707283e-309,3.1611953784504553e-308,3.3197658899331486e-308,3.6722265007809375e-308,5.39852931424956e-308,2.2886149836757524e-308,2.7028090946631136e-308,3.450947671367999e-308,6.50779361341091e-308,7.460109299780213e-308,1.0,3.6204563777822805e-308,2.695997901060858e-308,3.8676476070457453e-308,theme_11,1.0
ICE,2023,1.900424244761275e-309,1.20812092614433e-309,4.0460490877723236e-308,3.4053796110239746e-308,4.822111534520658e-308,6.133151932628312e-308,3.221070681567476e-308,3.8359362356571143e-308,3.6168512601294394e-308,5.501252805482057e-308,1.0,7.630331911595358e-308,3.243719893696904e-308,2.92360561142277e-308,3.5027442924381523e-308,theme_10,1.0
IDXX,2023,0.0016778955067346195,0.00106644212574152,0.030476511308301812,0.07939184862935891,0.032970063834402034,0.043941120583666636,0.029527117185732307,0.039537951464166214,0.04095646037926292,0.03565282272678304,0.028891673785857018,0.027969614702407792,0.04274892266490346,0.05174728454934636,0.04989393327358006,theme_3,0.07939184862935891
IEX,2023,0.0015396600670408774,0.0009713478333969241,0.029453053839231996,0.029707625159467156,0.036243843486251655,0.04394655202809026,0.06268460720001186,0.1768968758605901,0.04120744497288887,0.026929235726301393,0.03808679194196161,0.023783246227174076,0.033041586877583885,0.03816316406244773,0.03200651786136691,theme_7,0.1768968758605901
IFF,2023,0.0019733186387597616,0.0012735381657058452,0.531000914557217,0.04314733422506545,0.03260602473773389,0.04058445341306336,0.03303701285100484,0.039096375049338335,0.029501727566117835,0.04047384639199782,0.0441765343425001,0.0332890740406785,0.030338783364850328,0.026114668165646567,0.027035722482237862,theme_2,0.531000914557217
INCY,2023,0.0026344520493324945,0.0016822167103946277,0.049986885546134154,0.3462808370142326,0.044459937851997214,0.06597094516588545,0.03799954446177134,0.045684770725445654,0.049429858438834864,0.05815753657464603,0.04496792161262682,0.04862041303024443,0.06362604528313655,0.05581660173280406,0.05902135913445852,theme_3,0.3462808370142326
