ticker,year,filing_date,text_path,char_count,extraction_method,status
BKR,2021,2022-02-11,data\edgar\filings\BKR_2021.txt,30000,item1_extracted,ok
BKR,2023,2024-02-05,data\edgar\filings\BKR_2023.txt,30000,item1_extracted,ok
BLDR,2019,2020-02-21,data\edgar\filings\BLDR_2019.txt,30000,item1_extracted,ok
BLDR,2021,2022-03-01,data\edgar\filings\BLDR_2021.txt,30000,item1_extracted,ok
BLDR,2023,2024-02-22,data\edgar\filings\BLDR_2023.txt,30000,item1_extracted,ok
BMY,2019,2020-02-24,data\edgar\filings\BMY_2019.txt,480,item1_extracted,ok
BMY,2021,2022-02-09,data\edgar\filings\BMY_2021.txt,509,item1_extracted,ok
BMY,2023,2024-02-13,data\edgar\filings\BMY_2023.txt,509,item1_extracted,ok
BR,2019,2020-08-11,data\edgar\filings\BR_2019.txt,30000,item1_extracted,ok
BR,2021,2022-08-12,data\edgar\filings\BR_2021.txt,30000,item1_extracted,ok
BR,2023,2024-08-06,data\edgar\filings\BR_2023.txt,30000,item1_extracted,ok
BRK-B,2019,2020-02-24,data\edgar\filings\BRK-B_2019.txt,30000,cached,ok
BRK-B,2021,2022-02-28,data\edgar\filings\BRK-B_2021.txt,30000,cached,ok
BRK-B,2023,2024-02-26,data\edgar\filings\BRK-B_2023.txt,30000,cached,ok
BRO,2019,2020-02-24,data\edgar\filings\BRO_2019.txt,2649,item1_extracted,ok
BRO,2021,2022-02-23,data\edgar\filings\BRO_2021.txt,30000,item1_start_only,ok
BRO,2023,2024-02-22,data\edgar\filings\BRO_2023.txt,30000,item1_extracted,ok
BSX,2019,2020-02-25,data\edgar\filings\BSX_2019.txt,30000,item1_extracted,ok
BSX,2021,2022-02-23,data\edgar\filings\BSX_2021.txt,30000,item1_extracted,ok
BSX,2023,2024-02-20,data\edgar\filings\BSX_2023.txt,30000,item1_extracted,ok
BX,2019,2020-02-28,data\edgar\filings\BX_2019.txt,30000,item1_extracted,ok
BX,2021,2022-02-25,data\edgar\filings\BX_2021.txt,3469,item1_extracted,ok
BX,2023,2024-02-23,data\edgar\filings\BX_2023.txt,3451,item1_extracted,ok
BXP,2019,2020-03-02,data\edgar\filings\BXP_2019.txt,30000,item1_extracted,ok
BXP,2021,2022-02-25,data\edgar\filings\BXP_2021.txt,30000,item1_extracted,ok
BXP,2023,2024-02-27,data\edgar\filings\BXP_2023.txt,30000,item1_extracted,ok
C,2019,2020-02-21,data\edgar\filings\C_2019.txt,30000,full_text_fallback,ok
C,2021,2022-02-28,data\edgar\filings\C_2021.txt,30000,full_text_fallback,ok
C,2023,2024-02-23,data\edgar\filings\C_2023.txt,30000,full_text_fallback,ok
CAG,2019,2020-07-24,data\edgar\filings\CAG_2019.txt,23587,item1_extracted,ok
CAG,2021,2022-07-21,data\edgar\filings\CAG_2021.txt,30000,full_text_fallback,ok
