ticker,year,cik,accession,filing_date,doc_url
BAC,2019,0000070858,0000070858-20-000011,2020-02-19,https://www.sec.gov/Archives/edgar/data/70858/000007085820000011/bac-1231201910xk.htm
BAC,2021,0000070858,0000070858-22-000062,2022-02-22,https://www.sec.gov/Archives/edgar/data/70858/000007085822000062/bac-20211231.htm
BAC,2023,0000070858,0000070858-24-000122,2024-02-20,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/bac-20231231.htm
BALL,2019,0000009389,0001558370-20-001005,2020-02-19,https://www.sec.gov/Archives/edgar/data/9389/000155837020001005/bll-20191231x10k1a847a.htm
BALL,2021,0000009389,0001558370-22-001251,2022-02-16,https://www.sec.gov/Archives/edgar/data/9389/000155837022001251/bll-20211231x10k.htm
BALL,2023,0000009389,0001558370-24-001349,2024-02-20,https://www.sec.gov/Archives/edgar/data/9389/000155837024001349/ball-20231231x10k.htm
BAX,2019,0000010456,0001628280-20-003693,2020-03-17,https://www.sec.gov/Archives/edgar/data/10456/000162828020003693/bax-20191231.htm
BAX,2021,0000010456,0001628280-22-003432,2022-02-23,https://www.sec.gov/Archives/edgar/data/10456/000162828022003432/bax-20211231.htm
BAX,2023,0000010456,0001628280-24-003932,2024-02-08,https://www.sec.gov/Archives/edgar/data/10456/000162828024003932/bax-20231231.htm
BBY,2019,0000764478,0000764478-20-000017,2020-03-23,https://www.sec.gov/Archives/edgar/data/764478/000076447820000017/bby-20200201x10k.htm
BBY,2021,0000764478,0000764478-22-000008,2022-03-18,https://www.sec.gov/Archives/edgar/data/764478/000076447822000008/bby-20220129x10k.htm
BBY,2023,0000764478,0000764478-24-000010,2024-03-15,https://www.sec.gov/Archives/edgar/data/764478/000076447824000010/bby-20240203x10k.htm
BDX,2019,0000010795,0000010795-20-000055,2020-11-25,https://www.sec.gov/Archives/edgar/data/10795/000001079520000055/bdx-20200930.htm
BDX,2021,0000010795,0001628280-22-030686,2022-11-22,https://www.sec.gov/Archives/edgar/data/10795/000162828022030686/bdx-20220930.htm
BDX,2023,0000010795,0000010795-24-000084,2024-11-27,https://www.sec.gov/Archives/edgar/data/10795/000001079524000084/bdx-20240930.htm
BEN,2019,0000038777,0000038777-20-000203,2020-11-23,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/form10-k93020.htm
BEN,2021,0000038777,0000038777-22-000198,2022-11-14,https://www.sec.gov/Archives/edgar/data/38777/000003877722000198/ben-20220930.htm
BEN,2023,0000038777,0000038777-24-000206,2024-11-12,https://www.sec.gov/Archives/edgar/data/38777/000003877724000206/ben-20240930.htm
